Customer_ID,Age,Gender,Location,Income,Browsing_History,Previous_Purchases,Preferred_Device,Product_Category,Time_Spent_on_Site
af09abc0-4835-4376-af52-758c10ff7e97,72,Male,Suburban,,Clothing,8,Desktop,Clothing,78.71842228287605
00ce02c1-d45a-4e5a-bd6e-d34d11f90647,72,Female,Rural,100071.0,Books,1,Desktop,Clothing,71.8828404032704
b59bc34e-84de-4cc2-b45a-8e5254b5b7bf,72,Male,Urban,25734.0,Sports,1,Mobile,Food,105.18639657425196
820cb025-c3e9-4a92-9ca6-91fb303b526e,22,Male,Rural,115576.0,Food,7,Desktop,Food,98.11759505292724
232f52b9-3f95-4c70-91e3-ec9585c91802,33,Female,Rural,130314.0,Clothing,2,Mobile,Clothing,119.65095205137885
b6aafc80-cb07-43da-a233-563c88267296,30,Other,Rural,,Food,8,Desktop,Sports,52.00615901501064
c5afa3f8-4b4c-4012-8870-379f36aa1e23,28,Male,Urban,,Electronics,4,Mobile,Sports,10.855431365386263
4bb8f0f5-13ba-4d2d-b94f-95dca1c6c416,72,Male,Rural,51197.0,Sports,3,Desktop,Clothing,92.67229794999993
ee158e88-d331-45f2-8758-e39d6ed2a3a3,79,Other,Suburban,57219.0,Sports,2,Mobile,Books,100.22062901764784
4866e543-fda3-45ed-a336-4aa454bf627d,36,Other,Suburban,30015.0,Books,6,Mobile,Sports,77.63869954509731
656b8f7d-a205-45af-8e87-3530f0818e8e,64,Other,Suburban,42957.0,Electronics,6,Desktop,Sports,21.695316070239564
e7c5a2fc-f02f-4530-a7b5-d18efa60758f,21,,Suburban,86043.0,Food,6,Desktop,Food,31.190437258828357
70792d84-013e-4076-bf80-2cf00b007681,61,Female,Suburban,37103.0,Food,2,Tablet,Sports,
3facb6bb-53d6-4b40-9dab-582679ea01f1,75,Male,Suburban,22452.0,Electronics,6,Tablet,Books,88.17429141617708
fe748d97-93b1-495f-b6fb-40340e131eca,77,,Urban,49248.0,Electronics,4,Mobile,Sports,64.2016979909452
836350fd-7e4c-4f2f-92e7-cce24cf4aff3,55,Female,Urban,71450.0,Books,5,Mobile,Food,36.44600915376218
018733a0-ff58-4537-a396-819aaa22b706,48,,Suburban,,Books,2,Mobile,Electronics,85.31889780414026
c416035e-922b-4713-95da-ff3f4220c4da,19,Other,Suburban,113387.0,Sports,7,Mobile,Sports,109.4195993648297
15130844-d1a0-405d-888d-a77ed252b651,18,,Suburban,34998.0,Food,2,Mobile,Sports,27.26347051356196
0c1f1981-dbd6-4f42-a1e2-35789f9f19db,62,,Rural,118052.0,Books,2,Mobile,Food,78.90661185945282
4f259783-0580-4ea0-b85d-90406b5aaa0c,54,Other,Rural,119900.0,Electronics,5,Mobile,Electronics,83.01042309046171
c8276ecd-cd29-4da5-bca9-259f85525b64,31,Other,Rural,80621.0,Sports,7,Mobile,Food,112.485096713864
77231497-650c-441d-beb5-4a4672d52ee4,53,Other,Suburban,112027.0,Sports,1,Tablet,Electronics,23.108261526300147
69bb5c9e-bd72-4046-826c-7bc42de4ca75,39,Other,Rural,,Electronics,7,Tablet,Clothing,66.527335097709
c02cc403-52b5-40e0-9579-7df3f500275c,29,Other,Suburban,29740.0,Books,1,Tablet,Food,50.908539345562595
6d1baaaa-2ac3-4aa0-8ae0-4335c393305b,64,Other,Urban,119604.0,Electronics,4,Desktop,Electronics,62.02683292820492
e20f1653-c866-458e-bd13-852caca7854d,73,Other,Suburban,111866.0,Sports,8,Mobile,Sports,36.8263965327548
3865cd00-df8c-4a55-92fb-06ee8a8e33bf,49,Female,Rural,46418.0,Clothing,8,Tablet,Food,39.46866980207919
bfe396fb-7684-413d-8e6b-7fc6182c15bc,19,Male,Urban,46650.0,Sports,1,Mobile,Sports,18.191610564774315
358eabff-1765-46cb-918e-2e2e4143c4f7,62,Male,Rural,75200.0,Electronics,8,Mobile,Food,112.60441119339374
9c52770b-4515-47cd-92a5-f4824c15862f,40,Other,Urban,133127.0,Clothing,8,Tablet,Clothing,100.10798727924329
1a0b6eb8-305e-4a91-8c9b-cfaeffd7ae7a,57,Male,Suburban,133343.0,Sports,6,Mobile,Food,109.48264566328065
0027bd6a-b758-4f13-bc7b-b1b180c48b36,77,Other,Rural,125366.0,Food,9,Tablet,Sports,31.034854931984565
aa389905-0c1a-45e5-a273-9c6aeb269eca,42,Other,Suburban,138879.0,Clothing,4,Desktop,Food,92.82824953938953
ecaab2e3-df73-4af5-8b42-e215ec16b301,51,Other,Urban,146492.0,Sports,3,Desktop,Clothing,104.89840565914875
aca82d25-63c1-49ed-8bd6-d7ab6d6d6fc6,72,Male,Rural,45233.0,Sports,9,Desktop,Food,15.862213572543517
1d3979e6-e7d1-4e02-9082-baccc6c3905f,65,,Rural,137517.0,Electronics,9,Desktop,Food,48.834528149234
8072678f-4195-4fda-8c69-b9625b6c61a2,64,Male,Suburban,79952.0,Sports,2,Desktop,Clothing,11.99844904760125
f22d3bd5-12cc-4526-9b3e-c5e3f7c8185d,69,Female,Suburban,100926.0,Sports,3,Desktop,Books,53.87602806841932
2d71fea7-fc6a-4056-8ca8-6637b5ed4887,43,Other,Suburban,141800.0,Food,9,Tablet,Clothing,12.04714881501176
6864fe81-920a-457c-8d50-9bcd7b2cd83b,62,Other,Rural,143529.0,Clothing,5,Mobile,Electronics,61.925489640114236
6937bd98-9ab0-43de-83d6-f45d8c963096,18,Male,Suburban,113980.0,Sports,9,Mobile,Books,85.92965123842434
eda59d30-c005-4992-9ba2-28160912216b,18,,Suburban,21910.0,Sports,4,Desktop,Electronics,67.09339107395289
